1	script	undefined
1	warp	undefined
1	warp2	undefined
1	shop	undefined
1	cashshop	undefined
1	OnPCDieEvent	Executed when PC becomes dead.
1	OnPCKillEvent	Executed when PC kills another PC. Some skills may not invoke this.
1	OnNPCKillEvent	undefined
1	OnPCLoginEvent	Executed when PC logs in
1	OnPCLogoutEvent	Executed when PC logs out
1	OnPCLoadMapEvent	Executed when PC loads specified map (only if map 'loadevent' mapflag is specified)
1	OnPCLoadNPCMapEvent	Executed when PC loads NPC map
1	OnPCBaseLvUpEvent	Executed on base level up
1	OnPCJobLvUpEvent	Executed on Job level up
1	OnTouch_	Executed when PC touches NPC area
1	OnTouch	Executed when PC touches NPC area but only if NPC is not busy with another PC
1	OnTouchNPC	When mob comes into OnTouch area
1	OnInit	When script loads/reloads
1	OnInstanceInit	(need IIF_INITINSTANCENPC)
0	mes	s arg1, * arg2	mes(${1:s_arg1}, ${2:*_arg2})$0
0	next
0	clear
0	close
0	close2
0	menu	s arg1, l arg2, * arg3	menu(${1:s_arg1}, ${2:l_arg2}, ${3:*_arg3})$0
0	select	s arg1, * arg2	select(${1:s_arg1}, ${2:*_arg2})$0
0	prompt	s arg1, * arg2	prompt(${1:s_arg1}, ${2:*_arg2})$0
0	goto	l arg1	goto(${1:l_arg1})$0
0	callsub	l arg1, * arg2	callsub(${1:l_arg1}, ${2:*_arg2})$0
0	callfunc	s arg1, * arg2	callfunc(${1:s_arg1}, ${2:*_arg2})$0
0	return	? arg1	return(${1:?_arg1})$0
0	getarg	i arg1, ? arg2	getarg(${1:i_arg1}, ${2:?_arg2})$0
0	jobchange	i arg1, ? arg2, ? arg3	jobchange(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	jobname	i arg1	jobname(${1:i_arg1})$0
0	input	r arg1, ? arg2, ? arg3	input(${1:r_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	warp	s arg1, i arg2, i arg3, ? arg4	warp(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	warpchar	s arg1, i arg2, i arg3, ? arg4	warpchar(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	areawarp	s arg1, i arg2, i arg3, i arg4, i arg5, s arg6, i arg7, i arg8, ? arg9, ? arg10	areawarp(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:s_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9}, ${10:?_arg10})$0
0	warpparty	s arg1, i arg2, i arg3, i arg4, ? arg5, ? arg6, ? arg7	warpparty(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
